BPID,lat,lon,NbDocks,Installed,commonName
284,51.49914,-0.11203099999999999,20,2010-07-21 15:53:00,"Lambeth North Station, Waterloo"
286,51.527294,-0.174653,35,2010-07-21 15:58:00,"St. John's Wood Road, St. John's Wood"
287,51.523673,-0.128377,23,2010-07-21 16:01:00,"Bedford Way, Bloomsbury"
288,51.492369,-0.147478,34,2010-07-22 10:17:00,"Elizabeth Bridge, Victoria"
289,51.50923,-0.15129599999999999,15,2010-07-22 10:21:00,"South Audley Street, Mayfair"
290,51.51678,-0.175488,15,2010-07-22 10:39:00,"Winsland Street, Paddington"
291,51.484839,-0.138089,32,2010-07-22 12:07:00,"Claverton Street, Pimlico"
292,51.498884,-0.16547099999999998,16,2010-07-22 12:10:00,"Montpelier Street, Knightsbridge"
293,51.498157,-0.20949399999999999,25,2010-07-22 12:13:00,"Kensington Olympia Station, Olympia"
294,51.488226,-0.135635,16,2010-07-22 12:15:00,"St. George's Square, Pimlico"
295,51.500296,-0.092762,27,2010-07-22 12:18:00,"Swan Street, The Borough"
296,51.493631,-0.190603,18,2013-08-23 11:56:00,"Knaresborough Place, Earl's Court"
297,51.496127,-0.106,17,2010-07-22 12:26:00,"Geraldine Street, Elephant & Castle"
298,51.502279,-0.07418899999999999,21,2010-07-22 13:34:00,"Curlew Street, Shad Thames"
299,51.493985,-0.136928,19,2010-07-22 14:16:00,"Vincent Square, Westminster"
300,51.505014,-0.17306000000000002,18,2010-07-22 14:25:00,"Serpentine Car Park, Hyde Park"
301,51.514759,-0.148105,24,2010-07-22 14:30:00,"Marylebone Lane, Marylebone"
302,51.466907,-0.216573,28,2010-07-22 15:26:00,"Putney Pier, Wandsworth"
303,51.502953,-0.15845599999999999,28,2010-07-22 15:32:00,"Albert Gate, Hyde Park"
305,51.486779,-0.115853,15,2010-07-22 16:25:00,"Kennington Lane Tesco, Vauxhall"
306,51.518162,-0.135025,16,2010-07-22 16:31:00,"Rathbone Street, Fitzrovia "
307,51.509908,-0.18784199999999998,24,2010-07-22 16:35:00,"Black Lion Gate, Kensington Gardens"
308,51.499075,-0.08566599999999999,20,2010-07-22 16:39:00,"Long Lane , Bermondsey"
309,51.509631,-0.119047,41,2010-07-23 08:51:00,"Embankment (Savoy), Strand"
310,51.490867,-0.116911,19,2010-07-23 10:06:00,"Black Prince Road, Vauxhall"
311,51.519181,-0.140485,24,2010-07-23 10:15:00,"Foley Street, Fitzrovia"
312,51.530889,-0.17677,20,2010-07-23 10:19:00,"Grove End Road, St. John's Wood"
313,51.517344,-0.138072,37,2010-07-23 10:22:00,"Wells Street, Fitzrovia "
314,51.500889,-0.083159,36,2010-07-23 11:28:00,"Tyers Gate, Bermondsey"
315,51.525367,-0.153463,16,2010-07-23 11:31:00,"The Tennis Courts, The Regent's Park"
317,51.496791,-0.093913,32,2010-07-23 11:38:00,"Dickens Square, Borough"
318,51.510048,-0.138846,18,2010-07-23 11:42:00,"Sackville Street, Mayfair"
319,51.527025,-0.088542,21,2010-07-23 13:06:00,"Baldwin Street, St. Luke's"
320,51.493573,-0.139956,26,2010-07-23 13:14:00,"Queen Mother Sports Centre, Victoria"
321,51.497855,-0.081608,24,2010-07-23 13:17:00,"Bermondsey Street, Bermondsey"
