Station,Entry-Weekday,Entry-Saturday,Entry-Sunday,Exit-Weekday,Exit-Saturday,Exit-Sunday,Annual-e-and-e-million,Year,Entry-Weekend,Exit-Weekend,Weekend-Weekday,Latitude,Longitude,Zones,Zone,Connections
Becontree,4225.0,2434,1483,4015.0,2185,1374,2.493471,2010,1958.5,1779.5,0.31207213224244446,51.53958541,0.126880292,5,5,{'District'}
Belsize Park,10868.0,6114,4791,9207.0,5596,4541,6.238483,2017,5452.5,5068.5,0.34386847953980915,51.55019088,-0.163974493,2,2,{'Northern'}
Belsize Park,11259.0,6292,4816,9708.0,5839,4462,6.482865,2016,5554.0,5150.5,0.3379852548821496,51.55019088,-0.163974493,2,2,{'Northern'}
Belsize Park,10638.0,6357,4654,9131.0,5704,4276,6.155599,2015,5505.5,4990.0,0.3467924465958466,51.55019088,-0.163974493,2,2,{'Northern'}
Belsize Park,9829.0,6019,4731,9026.0,5691,4567,5.927817,2014,5375.0,5129.0,0.3577778534691236,51.55019088,-0.163974493,2,2,{'Northern'}
Belsize Park,9981.0,5646,4132,9058.0,5080,3802,5.842725,2013,4889.0,4441.0,0.32888011561916175,51.55019088,-0.163974493,2,2,{'Northern'}
Belsize Park,10133.0,5473,3931,8916.0,5023,3550,5.806568,2012,4702.0,4286.5,0.3205884975479269,51.55019088,-0.163974493,2,2,{'Northern'}
Belsize Park,9766.0,5601,3796,9061.0,4874,3658,5.747717,2011,4698.5,4266.0,0.32256265404889983,51.55019088,-0.163974493,2,2,{'Northern'}
Belsize Park,10287.0,6164,4637,9616.0,5520,4273,6.168717,2010,5400.5,4896.5,0.3409602649006622,51.55019088,-0.163974493,2,2,{'Northern'}
Bermondsey,16503.0,12706,8848,16121.0,12536,9373,10.641495,2017,10777.0,10954.5,0.3998031477955313,51.49796078,-0.06433009,2,2,{'Jubilee'}
Bermondsey,17334.0,13564,9216,16584.0,13145,9395,11.068171,2016,11390.0,11270.0,0.40050903177913677,51.49796078,-0.06433009,2,2,{'Jubilee'}
Bermondsey,16248.0,12196,8478,15056.0,11623,8559,10.163683,2015,10337.0,10091.0,0.3948813113740045,51.49796078,-0.06433009,2,2,{'Jubilee'}
Bermondsey,14908.0,10827,7288,14340.0,10513,7458,9.379438,2014,9057.5,8985.5,0.3815313696052103,51.49796078,-0.06433009,2,2,{'Jubilee'}
Bermondsey,14045.0,9873,6807,13064.0,9039,6710,8.639504,2013,8340.0,7874.5,0.37426569875471744,51.49796078,-0.06433009,2,2,{'Jubilee'}
